survey_id,survey_date,region,surveyor,household_size,monthly_income_inr,primary_water_source,sanitation_type,distance_to_water_km,satisfaction_score,survey_status,toilet_access,handwash_facility
SRV0001,2025-04-24,Delhi,Priya S.,7,14000,Hand Pump,Pit Latrine,3.4,5,Complete,Yes,No
SRV0002,2024-06-17,Delhi,Priya S.,2,44000,Borewell,Pit Latrine,1.1,5,Complete,No,Yes
SRV0003,2025-01-16,Gurugram,Meena R.,4,26000,Tap,Pit Latrine,0.9,3,Complete,Yes,Yes
SRV0004,2024-12-12,Delhi,Meena R.,7,38000,Hand Pump,Open Defecation,2.7,4,Partial,Yes,No
SRV0005,2025-04-18,Gurugram,Meena R.,2,51000,Tanker,Pit Latrine,1.2,3,Partial,Yes,Yes
SRV0006,2024-07-22,Faridabad,Meena R.,4,21000,River,Open Defecation,3.4,1,Complete,Yes,Yes
SRV0007,2024-08-23,Faridabad,Ravi T.,8,58000,Hand Pump,Pit Latrine,3.9,2,Partial,Yes,No
SRV0008,2024-12-23,Noida,Priya S.,5,33000,Borewell,Open Defecation,4.4,4,Complete,Yes,No
SRV0009,2024-08-11,Ghaziabad,Sonal B.,5,46000,Tanker,Open Defecation,2.1,2,Partial,Yes,No
SRV0010,2024-07-17,Delhi,Priya S.,5,47000,Borewell,Pit Latrine,0.4,4,Partial,No,No
SRV0011,2025-03-11,Delhi,Priya S.,4,15000,Tanker,Open Defecation,1.5,2,Partial,No,Yes
SRV0012,2024-10-13,Gurugram,Arjun K.,4,49000,Tanker,Flush Toilet,2.6,2,Partial,Yes,No
SRV0013,2024-08-22,Gurugram,Sonal B.,2,31000,Tap,Open Defecation,4.4,3,Complete,Yes,Yes
SRV0014,2024-10-02,Gurugram,Priya S.,8,42000,Tap,Community Toilet,3.9,2,Partial,No,Yes
SRV0015,2024-10-14,Gurugram,Sonal B.,8,55000,River,Pit Latrine,3.5,3,Dropout,No,No
SRV0016,2025-01-11,Gurugram,Ravi T.,4,9000,Tap,Pit Latrine,3.0,2,Complete,Yes,Yes
SRV0017,2024-07-07,Delhi,Arjun K.,2,41000,Tap,Flush Toilet,1.3,4,Partial,Yes,Yes
SRV0018,2025-03-20,Gurugram,Ravi T.,3,14000,Borewell,Community Toilet,0.6,4,Partial,No,No
SRV0019,2024-12-28,Faridabad,Priya S.,4,15000,Tap,Flush Toilet,1.3,2,Complete,No,Yes
SRV0020,2025-01-03,Ghaziabad,Meena R.,2,37000,River,Pit Latrine,4.1,5,Dropout,Yes,Yes
SRV0021,2025-04-30,Gurugram,Priya S.,5,39000,Tap,Pit Latrine,1.1,4,Complete,Yes,Yes
SRV0022,2024-12-12,Delhi,Ravi T.,7,55000,Hand Pump,Community Toilet,5.0,5,Complete,No,Yes
SRV0023,2024-09-06,Noida,Arjun K.,2,11000,Tap,Flush Toilet,3.0,5,Partial,Yes,Yes
SRV0024,2025-02-16,Delhi,Arjun K.,3,34000,Tap,Flush Toilet,0.7,5,Complete,Yes,Yes
SRV0025,2025-04-14,Delhi,Ravi T.,3,51000,Tanker,Open Defecation,3.6,2,Dropout,No,No
SRV0026,2024-08-07,Noida,Ravi T.,6,44000,Hand Pump,Flush Toilet,5.0,1,Complete,Yes,No
SRV0027,2024-08-07,Noida,Priya S.,5,43000,Borewell,Open Defecation,3.5,5,Complete,Yes,No
SRV0028,2025-05-06,Delhi,Arjun K.,7,44000,Hand Pump,Flush Toilet,0.9,3,Partial,Yes,No
SRV0029,2024-09-13,Noida,Sonal B.,8,11000,River,Open Defecation,0.6,4,Dropout,No,Yes
SRV0030,2024-06-02,Noida,Arjun K.,6,54000,Hand Pump,Pit Latrine,2.2,1,Partial,Yes,Yes
SRV0031,2025-05-20,Ghaziabad,Sonal B.,3,36000,Tap,Open Defecation,0.7,3,Partial,No,Yes
SRV0032,2024-12-01,Ghaziabad,Arjun K.,8,34000,Tap,Open Defecation,4.9,2,Partial,Yes,Yes
SRV0033,2024-08-30,Faridabad,Priya S.,5,51000,Borewell,Open Defecation,4.3,2,Partial,No,Yes
SRV0034,2025-05-26,Delhi,Ravi T.,8,38000,Tap,Community Toilet,1.8,2,Complete,Yes,Yes
SRV0035,2025-05-04,Ghaziabad,Ravi T.,8,26000,Hand Pump,Open Defecation,1.8,5,Dropout,No,No
SRV0036,2024-06-15,Delhi,Meena R.,6,36000,Borewell,Open Defecation,1.8,3,Complete,No,Yes
SRV0037,2024-12-15,Gurugram,Arjun K.,2,42000,Hand Pump,Flush Toilet,4.6,5,Partial,Yes,No
SRV0038,2025-01-07,Delhi,Meena R.,2,55000,Tanker,Open Defecation,4.5,5,Complete,No,No
SRV0039,2024-11-15,Faridabad,Meena R.,7,32000,Tanker,Pit Latrine,3.4,2,Complete,No,No
SRV0040,2025-03-08,Delhi,Meena R.,6,47000,Hand Pump,Pit Latrine,3.3,4,Complete,No,No
SRV0041,2025-05-12,Ghaziabad,Sonal B.,4,41000,River,Pit Latrine,3.4,5,Partial,No,Yes
SRV0042,2024-09-29,Noida,Arjun K.,3,39000,Borewell,Pit Latrine,3.1,1,Complete,No,No
SRV0043,2025-04-19,Gurugram,Arjun K.,3,50000,River,Community Toilet,3.5,1,Complete,No,Yes
SRV0044,2024-08-30,Gurugram,Ravi T.,2,37000,Tap,Pit Latrine,0.8,4,Dropout,No,No
SRV0045,2025-04-10,Gurugram,Ravi T.,7,39000,Tanker,Community Toilet,2.3,2,Partial,No,No
SRV0046,2025-04-17,Ghaziabad,Meena R.,3,25000,River,Flush Toilet,1.7,5,Partial,Yes,Yes
SRV0047,2024-08-17,Ghaziabad,Ravi T.,5,29000,Borewell,Pit Latrine,2.8,4,Complete,Yes,Yes
SRV0048,2025-01-02,Faridabad,Sonal B.,4,27000,Tap,Community Toilet,3.8,4,Complete,Yes,No
SRV0049,2024-09-21,Noida,Ravi T.,7,52000,River,Flush Toilet,4.0,2,Complete,No,Yes
SRV0050,2025-04-15,Gurugram,Priya S.,5,16000,River,Flush Toilet,4.3,2,Complete,Yes,No
SRV0051,2024-12-12,Noida,Arjun K.,5,26000,River,Open Defecation,3.8,4,Complete,No,Yes
SRV0052,2025-01-27,Delhi,Sonal B.,2,59000,Tap,Open Defecation,4.8,1,Complete,Yes,Yes
SRV0053,2024-09-11,Delhi,Sonal B.,7,15000,Borewell,Pit Latrine,2.9,2,Complete,No,No
SRV0054,2024-12-06,Ghaziabad,Sonal B.,3,28000,Tanker,Flush Toilet,0.6,1,Partial,No,No
SRV0055,2024-12-21,Ghaziabad,Priya S.,8,27000,Tanker,Pit Latrine,4.3,5,Complete,Yes,Yes
SRV0056,2024-11-25,Gurugram,Ravi T.,4,8000,Hand Pump,Flush Toilet,4.3,4,Complete,Yes,No
SRV0057,2024-12-03,Faridabad,Arjun K.,7,25000,River,Pit Latrine,3.1,5,Partial,No,No
SRV0058,2025-01-10,Gurugram,Meena R.,2,26000,Hand Pump,Pit Latrine,4.4,2,Partial,No,No
SRV0059,2024-11-20,Delhi,Ravi T.,4,24000,Hand Pump,Pit Latrine,1.8,5,Complete,No,Yes
SRV0060,2025-02-20,Ghaziabad,Priya S.,8,23000,Borewell,Community Toilet,3.5,4,Complete,No,Yes
SRV0061,2024-07-18,Noida,Arjun K.,6,32000,River,Pit Latrine,2.4,5,Complete,No,No
SRV0062,2025-03-09,Noida,Meena R.,3,15000,River,Open Defecation,3.6,3,Complete,Yes,Yes
SRV0063,2024-09-07,Ghaziabad,Ravi T.,8,20000,Hand Pump,Open Defecation,1.6,3,Dropout,Yes,No
SRV0064,2024-06-08,Gurugram,Arjun K.,6,27000,Hand Pump,Flush Toilet,3.5,2,Dropout,No,Yes
SRV0065,2024-06-07,Gurugram,Meena R.,3,11000,River,Community Toilet,1.3,4,Complete,Yes,Yes
SRV0066,2024-12-23,Faridabad,Priya S.,8,44000,Tanker,Flush Toilet,4.8,1,Complete,Yes,Yes
SRV0067,2025-03-13,Faridabad,Sonal B.,5,37000,Tanker,Pit Latrine,4.6,3,Partial,No,No
SRV0068,2025-03-19,Gurugram,Priya S.,3,48000,Tanker,Flush Toilet,1.1,1,Dropout,Yes,Yes
SRV0069,2024-08-28,Gurugram,Priya S.,7,46000,Borewell,Flush Toilet,2.4,1,Complete,Yes,No
SRV0070,2025-05-28,Noida,Ravi T.,8,59000,Tap,Pit Latrine,3.2,2,Dropout,No,Yes
SRV0071,2025-03-06,Ghaziabad,Arjun K.,3,59000,Hand Pump,Pit Latrine,1.6,5,Complete,No,No
SRV0072,2024-08-03,Faridabad,Meena R.,5,36000,River,Open Defecation,0.5,1,Complete,No,No
SRV0073,2025-04-06,Noida,Priya S.,8,45000,Tap,Pit Latrine,3.0,1,Dropout,No,Yes
SRV0074,2024-08-29,Faridabad,Sonal B.,6,36000,River,Open Defecation,3.2,4,Complete,Yes,No
SRV0075,2024-11-26,Faridabad,Meena R.,4,34000,Hand Pump,Flush Toilet,3.5,3,Dropout,No,Yes
SRV0076,2025-01-19,Delhi,Meena R.,8,34000,Hand Pump,Open Defecation,4.3,1,Complete,No,No
SRV0077,2024-06-28,Ghaziabad,Sonal B.,8,11000,Hand Pump,Community Toilet,1.1,5,Partial,Yes,No
SRV0078,2025-01-11,Faridabad,Priya S.,4,44000,Tap,Pit Latrine,0.2,4,Partial,Yes,Yes
SRV0079,2024-07-29,Faridabad,Priya S.,4,41000,Borewell,Community Toilet,3.6,4,Dropout,No,No
SRV0080,2024-10-03,Faridabad,Sonal B.,6,41000,Borewell,Community Toilet,3.8,2,Complete,Yes,No
SRV0081,2024-12-30,Noida,Sonal B.,4,46000,Hand Pump,Flush Toilet,2.9,4,Complete,Yes,No
SRV0082,2025-03-03,Faridabad,Meena R.,4,20000,Hand Pump,Community Toilet,4.9,2,Complete,No,Yes
SRV0083,2024-12-28,Delhi,Meena R.,7,59000,River,Community Toilet,4.1,2,Complete,No,Yes
SRV0084,2024-08-04,Gurugram,Sonal B.,5,14000,Hand Pump,Flush Toilet,2.7,4,Partial,Yes,Yes
SRV0085,2024-12-27,Ghaziabad,Priya S.,7,34000,River,Open Defecation,3.3,3,Complete,No,No
SRV0086,2025-04-17,Faridabad,Sonal B.,7,26000,Tap,Flush Toilet,5.0,1,Complete,No,Yes
SRV0087,2025-04-21,Delhi,Ravi T.,2,29000,Borewell,Open Defecation,4.0,3,Dropout,No,No
SRV0088,2025-01-07,Ghaziabad,Arjun K.,8,19000,Tanker,Community Toilet,0.9,1,Partial,No,Yes
SRV0089,2025-02-10,Gurugram,Arjun K.,5,24000,Borewell,Community Toilet,3.4,4,Complete,No,Yes
SRV0090,2024-07-08,Faridabad,Meena R.,5,53000,Tanker,Open Defecation,1.3,3,Partial,Yes,No
SRV0091,2025-02-03,Delhi,Arjun K.,7,27000,River,Open Defecation,0.2,4,Complete,No,Yes
SRV0092,2025-03-17,Delhi,Sonal B.,3,47000,River,Open Defecation,4.0,2,Partial,Yes,No
SRV0093,2025-05-14,Ghaziabad,Priya S.,2,45000,Tap,Open Defecation,1.9,2,Partial,Yes,No
SRV0094,2024-11-15,Faridabad,Arjun K.,4,42000,Borewell,Pit Latrine,2.6,3,Partial,Yes,No
SRV0095,2025-02-02,Noida,Meena R.,3,57000,Tap,Community Toilet,4.8,4,Dropout,No,Yes
SRV0096,2024-12-20,Delhi,Meena R.,7,57000,Tanker,Flush Toilet,3.4,5,Complete,No,No
SRV0097,2024-07-26,Ghaziabad,Ravi T.,3,50000,Tap,Open Defecation,0.4,4,Dropout,No,No
SRV0098,2024-07-30,Ghaziabad,Priya S.,2,14000,Tap,Open Defecation,1.3,5,Dropout,Yes,No
SRV0099,2025-01-19,Noida,Sonal B.,7,14000,River,Pit Latrine,4.2,5,Partial,No,No
SRV0100,2024-06-17,Noida,Arjun K.,8,31000,River,Community Toilet,0.6,3,Dropout,No,Yes
SRV0101,2024-12-21,Noida,Arjun K.,3,50000,Tap,Community Toilet,3.2,1,Complete,Yes,No
SRV0102,2024-10-03,Ghaziabad,Sonal B.,6,21000,Borewell,Flush Toilet,3.0,2,Dropout,No,Yes
SRV0103,2025-04-02,Delhi,Meena R.,8,19000,Borewell,Pit Latrine,0.6,1,Complete,Yes,Yes
SRV0104,2024-12-01,Ghaziabad,Sonal B.,2,16000,Hand Pump,Flush Toilet,3.7,5,Complete,Yes,Yes
SRV0105,2025-01-30,Faridabad,Meena R.,3,48000,Tanker,Flush Toilet,0.3,5,Complete,No,No
SRV0106,2025-04-26,Delhi,Priya S.,2,40000,River,Community Toilet,3.6,4,Complete,Yes,Yes
SRV0107,2024-11-12,Gurugram,Arjun K.,7,46000,Tap,Pit Latrine,2.8,3,Complete,No,No
SRV0108,2025-01-19,Gurugram,Sonal B.,2,50000,River,Flush Toilet,3.3,5,Partial,Yes,No
SRV0109,2025-01-18,Ghaziabad,Ravi T.,7,14000,Hand Pump,Community Toilet,1.6,3,Complete,No,No
SRV0110,2024-08-18,Faridabad,Priya S.,2,56000,Tap,Flush Toilet,3.7,2,Complete,Yes,No
SRV0111,2025-05-10,Delhi,Ravi T.,7,11000,Hand Pump,Community Toilet,4.8,5,Partial,No,No
SRV0112,2024-07-24,Gurugram,Sonal B.,3,15000,Borewell,Pit Latrine,1.8,5,Complete,No,Yes
SRV0113,2024-10-21,Gurugram,Arjun K.,7,53000,River,Flush Toilet,1.4,2,Complete,No,No
SRV0114,2024-11-21,Noida,Priya S.,5,12000,Borewell,Pit Latrine,0.8,1,Complete,Yes,Yes
SRV0115,2024-12-10,Faridabad,Ravi T.,7,29000,Hand Pump,Pit Latrine,3.9,5,Complete,Yes,Yes
SRV0116,2024-08-19,Ghaziabad,Sonal B.,7,35000,Tap,Flush Toilet,2.5,4,Complete,No,No
SRV0117,2024-09-19,Gurugram,Priya S.,7,52000,Hand Pump,Community Toilet,3.0,5,Complete,No,Yes
SRV0118,2024-09-21,Faridabad,Sonal B.,3,58000,Tap,Flush Toilet,0.8,3,Complete,No,No
SRV0119,2024-08-01,Delhi,Ravi T.,6,54000,River,Pit Latrine,1.2,5,Complete,No,Yes
SRV0120,2024-12-21,Delhi,Ravi T.,8,28000,Tap,Community Toilet,2.9,5,Dropout,No,No
SRV0121,2024-10-27,Delhi,Ravi T.,6,38000,Tap,Open Defecation,4.2,3,Complete,Yes,No
SRV0122,2024-07-25,Ghaziabad,Ravi T.,5,28000,Tanker,Community Toilet,3.8,2,Complete,No,Yes
SRV0123,2024-07-10,Gurugram,Priya S.,4,31000,Tanker,Pit Latrine,3.7,2,Dropout,Yes,Yes
SRV0124,2024-08-14,Noida,Arjun K.,7,12000,Borewell,Pit Latrine,1.0,4,Partial,No,No
SRV0125,2025-05-15,Gurugram,Sonal B.,2,38000,Hand Pump,Open Defecation,2.3,3,Complete,No,Yes
SRV0126,2024-11-28,Gurugram,Priya S.,2,32000,Hand Pump,Community Toilet,4.2,1,Complete,Yes,No
SRV0127,2025-01-23,Gurugram,Sonal B.,6,50000,Tap,Community Toilet,1.0,5,Dropout,No,Yes
SRV0128,2024-07-02,Faridabad,Priya S.,3,10000,Hand Pump,Flush Toilet,1.3,4,Complete,No,Yes
SRV0129,2024-12-04,Noida,Meena R.,7,47000,River,Community Toilet,0.4,3,Partial,Yes,No
SRV0130,2024-07-19,Gurugram,Ravi T.,7,47000,Hand Pump,Open Defecation,4.4,3,Partial,Yes,Yes
SRV0131,2024-11-27,Noida,Ravi T.,5,50000,Borewell,Flush Toilet,4.0,2,Complete,Yes,No
SRV0132,2025-02-16,Noida,Priya S.,3,30000,Hand Pump,Open Defecation,4.7,4,Complete,Yes,Yes
SRV0133,2024-08-10,Ghaziabad,Priya S.,6,56000,Hand Pump,Flush Toilet,4.4,1,Complete,No,Yes
SRV0134,2025-04-02,Faridabad,Arjun K.,8,48000,Borewell,Pit Latrine,4.1,2,Dropout,No,Yes
SRV0135,2024-12-28,Noida,Arjun K.,8,37000,River,Open Defecation,1.2,2,Partial,No,No
SRV0136,2024-09-08,Noida,Sonal B.,8,33000,River,Community Toilet,2.6,4,Partial,Yes,Yes
SRV0137,2025-04-06,Ghaziabad,Meena R.,6,14000,Tap,Community Toilet,3.6,5,Dropout,Yes,No
SRV0138,2024-07-13,Ghaziabad,Meena R.,2,22000,River,Pit Latrine,4.1,3,Dropout,Yes,No
SRV0139,2024-06-28,Faridabad,Sonal B.,2,32000,Hand Pump,Pit Latrine,1.2,3,Complete,Yes,No
SRV0140,2024-08-14,Ghaziabad,Priya S.,3,57000,Hand Pump,Community Toilet,3.6,4,Partial,Yes,Yes
SRV0141,2024-06-10,Noida,Arjun K.,4,23000,Borewell,Community Toilet,1.6,1,Complete,Yes,No
SRV0142,2025-04-24,Gurugram,Ravi T.,5,47000,Tap,Flush Toilet,2.7,5,Partial,Yes,Yes
SRV0143,2024-10-28,Faridabad,Priya S.,5,20000,Tanker,Open Defecation,3.4,1,Complete,No,Yes
SRV0144,2025-02-25,Gurugram,Sonal B.,5,10000,Tanker,Flush Toilet,3.2,3,Complete,No,Yes
SRV0145,2024-11-30,Delhi,Meena R.,7,57000,Borewell,Flush Toilet,1.7,1,Partial,No,No
SRV0146,2025-04-26,Ghaziabad,Ravi T.,2,54000,River,Pit Latrine,3.9,4,Dropout,Yes,No
SRV0147,2024-09-12,Delhi,Arjun K.,6,34000,Tap,Open Defecation,4.9,5,Dropout,No,No
SRV0148,2024-06-19,Ghaziabad,Meena R.,4,25000,Hand Pump,Flush Toilet,0.7,3,Dropout,No,No
